system:index,station,sum,.geo
0,HeronIsland,354313.47434619843,"{""type"":""Polygon"",""coordinates"":[[[151.91386329126544,-23.433746461384644],[151.9116717248452,-23.434032969979768],[151.90965458046838,-23.434869693235903],[151.90797240449524,-23.436190037537916],[151.90675909383253,-23.43788891605571],[151.9061112390834,-23.439831109732378],[151.90608043248284,-23.441862027078674],[151.90666915398168,-23.443820007430443],[151.9078305651844,-23.4455491890249],[151.90947223024466,-23.44691191763276],[151.91146346985926,-23.447799707384586],[151.91364576420128,-23.448141880201565],[151.9158453764522,-23.447911194897117],[151.9178871904279,-23.44712601689613],[151.91960865827122,-23.445848855449608],[151.9208727453366,-23.444181385062848],[151.92157883995822,-23.44225634831712],[151.92167075911934,-23.440226985834315],[151.92114121371634,-23.438254835922244],[151.9200323801389,-23.43649687579769],[151.91843253536234,-23.435093028047234],[151.91646902579004,-23.434155026234272],[151.91429813086927,-23.433757524875112],[151.91386329126544,-23.433746461384644]]]}"
1,OrpheusIsland,79604.98904221479,"{""type"":""Polygon"",""coordinates"":[[[146.49034516380706,-18.605391926128597],[146.48822347465776,-18.605678438139144],[146.48627065193017,-18.6065151705759],[146.48464212652866,-18.607835526959107],[146.48346752584092,-18.60953441668888],[146.48284035640876,-18.611476617209583],[146.48281055821138,-18.613507534896044],[146.4833805240487,-18.615465508977717],[146.4845049025639,-18.617194679648325],[146.4860942026162,-18.618557396087624],[146.4880219138429,-18.619445176223824],[146.49013457753156,-18.61978734497916],[146.49226400595913,-18.61955666243471],[146.49424067628263,-18.61877149315395],[146.4959072309075,-18.61749434366629],[146.49713100772058,-18.615826884744777],[146.4978146013553,-18.613901855392648],[146.49790361438835,-18.611872493924633],[146.49739098218285,-18.609900338332107],[146.49631752874183,-18.60814236760471],[146.4947687113527,-18.606738507637704],[146.49286781494635,-18.605800495806555],[146.4907661389096,-18.60540298975352],[146.49034516380706,-18.605391926128597]]]}"
2,LizardIsland,114494.82070117278,"{""type"":""Polygon"",""coordinates"":[[[145.4459248865997,-14.660584837260624],[145.44384641025107,-14.660871351918663],[145.44193336536702,-14.661708091471782],[145.44033801982536,-14.663028457219673],[145.43918736066846,-14.66472735564026],[145.43857298670434,-14.666669561465891],[145.4385438152657,-14.668700479415834],[145.43910218428348,-14.67065844863716],[145.44020366123087,-14.672387610840248],[145.44176057569183,-14.673750317847304],[145.44364899569322,-14.674638090530198],[145.44571859318225,-14.674980256137266],[145.4478046132044,-14.674749575732152],[145.44974099307925,-14.673964413210655],[145.45137358582457,-14.672687272992668],[145.4525724337349,-14.671019822958298],[145.4532421140505,-14.669094799337358],[145.45332933288034,-14.667065438656149],[145.45282716344215,-14.665093278660663],[145.45177559249223,-14.663335299714639],[145.4502583329907,-14.661931430278038],[145.4483961580828,-14.660993410681279],[145.44633728778007,-14.660595900989776],[145.4459248865997,-14.660584837260624]]]}"
3,HamiltonIsland,150198.82994864968,"{""type"":""Polygon"",""coordinates"":[[[148.95744311789255,-20.339181393341818],[148.95529860399355,-20.339467904151032],[148.9533247711032,-20.340304633358613],[148.95167872097758,-20.341624985492427],[148.9504914756073,-20.34332387127855],[148.94985754899173,-20.34526606939199],[148.94982742093524,-20.347296986958842],[148.9504035128512,-20.349254963245954],[148.95153998777135,-20.350984137758868],[148.95314639274125,-20.35234685847826],[148.95509485561195,-20.3532346419966],[148.9572302643831,-20.353576812180545],[148.95938261859894,-20.353346128665315],[148.9613805682265,-20.35256095631737],[148.9630650601854,-20.35128380262337],[148.96430200405746,-20.34961633966912],[148.964992947199,-20.34769130771638],[148.96508290904416,-20.345661945891397],[148.96456475178005,-20.343689792296857],[148.96347974129188,-20.341931825298847],[148.96191425598226,-20.340527969628845],[148.95999290744328,-20.339589961321465],[148.95786862169976,-20.339192456919452],[148.95744311789255,-20.339181393341818]]]}"
4,DaydreamIsland,36576.87989895391,"{""type"":""Polygon"",""coordinates"":[[[148.81553031846212,-20.244380271522832],[148.8133871161579,-20.24466678239841],[148.81141449058612,-20.245503511784378],[148.80976944748735,-20.246823864152937],[148.80858292871338,-20.248522750156905],[148.8079493903738,-20.25046494840333],[148.807919281257,-20.252495865976787],[148.80849502113674,-20.254453842142073],[148.80963080095344,-20.256183016442726],[148.8112362230237,-20.257545736925685],[148.81318349345042,-20.258433520257185],[148.81531759523344,-20.258775690362214],[148.8174686320777,-20.25854500690062],[148.81946535894159,-20.257759834722105],[148.82114882016924,-20.256482681260465],[148.8223850074164,-20.25481521852899],[148.82307552822064,-20.252890186719913],[148.82316543552912,-20.250860824914646],[148.82264759573852,-20.248888671209738],[148.82156324934627,-20.247130704005713],[148.8199987218273,-20.245726848098336],[148.81807854853938,-20.2447888395963],[148.81595556203305,-20.244391335103074],[148.81553031846212,-20.244380271522832]]]}"
5,OrpheusIsland,79604.98904221479,"{""type"":""Polygon"",""coordinates"":[[[146.49034516380706,-18.605391926128597],[146.48822347465776,-18.605678438139144],[146.48627065193017,-18.6065151705759],[146.48464212652866,-18.607835526959107],[146.48346752584092,-18.60953441668888],[146.48284035640876,-18.611476617209583],[146.48281055821138,-18.613507534896044],[146.4833805240487,-18.615465508977717],[146.4845049025639,-18.617194679648325],[146.4860942026162,-18.618557396087624],[146.4880219138429,-18.619445176223824],[146.49013457753156,-18.61978734497916],[146.49226400595913,-18.61955666243471],[146.49424067628263,-18.61877149315395],[146.4959072309075,-18.61749434366629],[146.49713100772058,-18.615826884744777],[146.4978146013553,-18.613901855392648],[146.49790361438835,-18.611872493924633],[146.49739098218285,-18.609900338332107],[146.49631752874183,-18.60814236760471],[146.4947687113527,-18.606738507637704],[146.49286781494635,-18.605800495806555],[146.4907661389096,-18.60540298975352],[146.49034516380706,-18.605391926128597]]]}"
6,Kaneohe,132285.7745442035,"{""type"":""Polygon"",""coordinates"":[[[-157.79034335827325,21.441715138577905],[-157.79250367274565,21.441428600831486],[-157.7944920023933,21.440591799218453],[-157.7961500598112,21.439271351806134],[-157.79734585979904,21.4375723776015],[-157.79798422657703,21.4356301255218],[-157.79801436668572,21.433599205281812],[-157.79743390573447,21.431641278448826],[-157.79628906967548,21.429912190084423],[-157.79467099858567,21.428549565324108],[-157.7927084884471,21.42766185763013],[-157.79055773976157,21.427319719473854],[-157.78838992876624,21.42755038122543],[-157.78637758909179,21.42833548481002],[-157.784680885611,21.429612544199436],[-157.78343487073292,21.431279916736873],[-157.78273873585132,21.43320489037634],[-157.78264791302604,21.435234244189093],[-157.78316965643856,21.43720644257281],[-157.7842624572563,21.438964493184372],[-157.7858393408861,21.44036844519953],[-157.78777478629434,21.441306532517746],[-157.78991471782143,21.441704073939793],[-157.79034335827325,21.441715138577905]]]}"
7,KohTao,286812.2104981816,"{""type"":""Polygon"",""coordinates"":[[[99.82693955840472,10.073715613495837],[99.82489727247005,10.073429083338501],[99.82301756266871,10.072592302124196],[99.82145006089739,10.071271881554003],[99.82031954193329,10.06957293225791],[99.81971599085226,10.067630695379918],[99.8196874415399,10.065599775891137],[99.82023615593582,10.063641835124841],[99.82131844728671,10.061912722490941],[99.82284816044645,10.060550070698435],[99.82470353130734,10.059662341644845],[99.82673687889135,10.059320194466526],[99.82878635871461,10.05955086234881],[99.83068884249447,10.060335985303881],[99.83229289994489,10.061613071259254],[99.83347085031151,10.063280469268381],[99.83412892506651,10.065205459336722],[99.83421473302934,10.067234815408467],[99.83372143333396,10.069207001175952],[99.83268828325438,10.070965028232845],[99.8311975162547,10.072368953105542],[99.82936779785568,10.073307018164178],[99.82734477971472,10.0737045491565],[99.82693955840472,10.073715613495837]]]}"
8,Minicoy,145727.79363356935,"{""type"":""Polygon"",""coordinates"":[[[73.05056627885988,8.284703287909666],[73.04853427202517,8.284416758882928],[73.04666402123009,8.283579980707586],[73.04510440414306,8.282259564136321],[73.04397956761795,8.280560618551158],[73.0433790451893,8.27861838393803],[73.04335063128232,8.27658746456129],[73.04389657901253,8.274629521719278],[73.0449734235314,8.272900405469688],[73.04649544413914,8.271537749649825],[73.04834148885999,8.270650017413965],[73.0503646178687,8.27030786889149],[73.0524037982362,8.270538537687166],[73.05429671961225,8.271323663528156],[73.05589271150755,8.272600753441434],[73.0570647347767,8.274268155245377],[73.05771949336862,8.27619314776123],[73.05780486162632,8.278222504169406],[73.05731403563239,8.280194688057204],[73.05628607748565,8.28195271160485],[73.05480280834672,8.283356632433867],[73.05298229681983,8.284294694176307],[73.05096946057438,8.284692223614837],[73.05056627885988,8.284703287909666]]]}"
9,Phuket,561786.0615110659,"{""type"":""Polygon"",""coordinates"":[[[98.40994664292666,7.8068432049831475],[98.40791703021921,7.806556676256574],[98.40604898248482,7.805719898888048],[98.40449120168849,7.804399483378465],[98.40336768843571,7.802700538778524],[98.40276787113403,7.800758304766704],[98.40273948850694,7.798727385419718],[98.40328479169436,7.796769442026622],[98.404360367595,7.795040324817094],[98.40588059672223,7.793677667927998],[98.40772446965079,7.79278993484727],[98.40974521911221,7.792447785967925],[98.4117820011042,7.792678455006102],[98.41367269568606,7.793463581613286],[98.41526680926063,7.794740672577358],[98.41643745208916,7.7964080753887925],[98.41709143818254,7.7983330685544425],[98.41717670378436,7.8003624250519294],[98.41668645366131,7.802334608440682],[98.41565970452854,7.80409263105665],[98.4141781815655,7.8054965508121015],[98.41235981435806,7.806434611674122],[98.41034934959268,7.806832140700134],[98.40994664292666,7.8068432049831475]]]}"
